date,open,high,low,close,adj_close,volume,hub,ticker,source
2025-01-09,45.095001220703125,45.47999954223633,43.89500045776367,44.98699951171875,44.98699951171875,10508,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-10,44.849998474121094,45.78499984741211,43.224998474121094,45.007999420166016,45.007999420166016,22273,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-13,46.650001525878906,48.56999969482422,46.650001525878906,48.26100158691406,48.26100158691406,31502,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-14,48.529998779296875,48.60499954223633,46.60499954223633,46.946998596191406,46.946998596191406,12626,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-15,47.45000076293945,47.75,46.45000076293945,47.00600051879883,47.00600051879883,8685,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-16,46.20500183105469,46.40999984741211,45.70000076293945,46.24100112915039,46.24100112915039,4966,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-17,46.0,47.404998779296875,45.76499938964844,46.887001037597656,46.887001037597656,24919,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-21,46.650001525878906,50.224998474121094,46.150001525878906,50.027000427246094,50.027000427246094,32258,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-22,50.084999084472656,50.70000076293945,48.54999923706055,48.715999603271484,48.715999603271484,41428,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-23,48.83000183105469,50.29999923706055,48.599998474121094,49.12300109863281,49.12300109863281,17683,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-24,49.584999084472656,49.90999984741211,48.20500183105469,49.70199966430664,49.70199966430664,15826,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-27,48.82500076293945,48.900001525878906,47.83000183105469,47.86199951171875,47.86199951171875,356,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-28,48.20000076293945,48.6150016784668,48.04999923706055,48.2239990234375,48.2239990234375,154,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-29,49.7400016784668,51.33000183105469,49.7400016784668,51.15599822998047,51.15599822998047,20,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-30,52.02000045776367,52.540000915527344,51.529998779296875,51.72600173950195,51.72600173950195,672,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-01-31,52.0,53.755001068115234,51.94499969482422,53.23699951171875,53.23699951171875,1518,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-03,54.20000076293945,54.619998931884766,52.849998474121094,53.79399871826172,53.79399871826172,539,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-04,52.904998779296875,53.39500045776367,51.38999938964844,52.04800033569336,52.04800033569336,1696,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-05,51.849998474121094,53.904998779296875,51.849998474121094,53.4379997253418,53.4379997253418,8886,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-06,53.90999984741211,55.46500015258789,53.54999923706055,54.50199890136719,54.50199890136719,37213,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-07,53.814998626708984,56.04999923706055,53.65999984741211,55.722999572753906,55.722999572753906,24713,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-10,57.29999923706055,58.69499969482422,57.255001068115234,58.03900146484375,58.03900146484375,41144,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-11,57.130001068115234,59.334999084472656,56.375,57.76599884033203,57.76599884033203,37594,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-12,56.20000076293945,57.0,54.22999954223633,55.6609992980957,55.6609992980957,47189,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-13,55.65999984741211,55.65999984741211,50.564998626708984,51.382999420166016,51.382999420166016,10410,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-14,50.04999923706055,51.599998474121094,48.38999938964844,50.685001373291016,50.685001373291016,1020,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-18,50.005001068115234,50.89500045776367,46.84000015258789,49.21500015258789,49.21500015258789,3039,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-19,50.0,50.39500045776367,47.119998931884766,48.263999938964844,48.263999938964844,1919,TTF,TTF=F,Yahoo Finance (via yfinance)
2025-02-20,47.349998474121094,48.599998474121094,47.064998626708984,47.49399948120117,47.49399948120117,682,TTF,TTF=F,Yahoo Finance (via yfinance)
