test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
FIN,fedavg,23,LTU|LVA-EST|TTF,3,5,0.001,,0.1138248352914672,0.060407168663945854,7.242960109351576,3.422075608364467
FIN,fedavg,24,LTU|LVA-EST|TTF,3,5,0.001,,0.1136538708713351,0.060487574659356176,7.228102233403148,3.423148675624666
FIN,fedavg,25,LTU|LVA-EST|TTF,3,5,0.001,,0.11360109785140986,0.06017975998763397,7.232008977337152,3.41028209194541
FIN,fedavg,26,LTU|LVA-EST|TTF,3,5,0.001,,0.11365885643017277,0.060486369527944624,7.2314073940178165,3.4262276023287197
FIN,fedavg,27,LTU|LVA-EST|TTF,3,5,0.001,,0.11369060631136332,0.06043876593396597,7.236670584308276,3.426398346050031
FIN,fedavg,28,LTU|LVA-EST|TTF,3,5,0.001,,0.11337465271935405,0.06016490513565227,7.21159350141471,3.4040656989853946
FIN,fedavg,29,LTU|LVA-EST|TTF,3,5,0.001,,0.11337872142200461,0.060115962721315086,7.219780723607744,3.408764566065936
FIN,fedavg,30,LTU|LVA-EST|TTF,3,5,0.001,,0.11322976020067,0.060119060043281686,7.201994380334538,3.4010093623368918
FIN,fedavg,31,LTU|LVA-EST|TTF,3,5,0.001,,0.11312455987996141,0.06004577414142691,7.196921261028532,3.397208012520239
FIN,fedavg,32,LTU|LVA-EST|TTF,3,5,0.001,,0.11313738851655647,0.05993197313841063,7.199098833645252,3.3927843747128694
FIN,fedavg,33,LTU|LVA-EST|TTF,3,5,0.001,,0.11329131697900507,0.06019588888889773,7.206827933553049,3.4075552962638183
FIN,fedavg,34,LTU|LVA-EST|TTF,3,5,0.001,,0.1130412015129446,0.059886435254031374,7.193245365138307,3.387889852610127
FIN,fedavg,35,LTU|LVA-EST|TTF,3,5,0.001,,0.1133090697060873,0.06008263608161762,7.213751822810498,3.4053353303228984
FIN,fedavg,36,LTU|LVA-EST|TTF,3,5,0.001,,0.11324864127497064,0.06043139349213593,7.201843072512046,3.4195724588910057
FIN,fedavg,37,LTU|LVA-EST|TTF,3,5,0.001,,0.11330738079919049,0.060193134422096874,7.2142571168388985,3.4128281749353335
FIN,fedavg,38,LTU|LVA-EST|TTF,3,5,0.001,,0.11341022759456243,0.060190167906794476,7.220494235454782,3.412257125991172
FIN,fedavg,39,LTU|LVA-EST|TTF,3,5,0.001,,0.11340899892368869,0.06011408700954956,7.219355069574246,3.4076673308867838
FIN,fedavg,40,LTU|LVA-EST|TTF,3,5,0.001,,0.11331888387691284,0.060208669203787174,7.213040633641597,3.414275380735767
FIN,fedavg,41,LTU|LVA-EST|TTF,3,5,0.001,,0.11330456969368025,0.06028022849781776,7.209192052577607,3.416101559846566
FIN,fedavg,42,LTU|LVA-EST|TTF,3,5,0.001,,0.11339744985502272,0.06015353400816194,7.218414732472911,3.4109887259838905
FIN,fedavg,43,LTU|LVA-EST|TTF,3,5,0.001,,0.11329672447684877,0.06019367555262729,7.20802616442575,3.4082487728451865
FIN,fedavg,44,LTU|LVA-EST|TTF,3,5,0.001,,0.11366201700609548,0.060725415047711756,7.233471491110137,3.4430554079331195
FIN,fedavg,45,LTU|LVA-EST|TTF,3,5,0.001,,0.11345426191220571,0.06050457193863434,7.215571649922903,3.426502719672589
