hub,date,features_file,symbol,n_agents,n_type_NoiseAgent,n_type_ValueAgent,n_type_MomentumAgent,mid_mean,mid_std,mid_min,mid_max,mid_median,spread_mean,spread_std,spread_min,spread_max,spread_median,fills_total,fills_mean_per_agent,vol_total,vol_mean_per_agent,vwap_proxy,price,target_next_price,target_next_date,log_ret_next
NBP,2020-12-08,data/simulated_trades_long/agent_features_NBP_2020-12-08.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.640999794006348,5.675000190734863,2020-12-09,0.006009278736517354
NBP,2020-12-09,data/simulated_trades_long/agent_features_NBP_2020-12-09.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,5.675000190734863,6.0,2020-12-10,0.05568887225092167
NBP,2020-12-10,data/simulated_trades_long/agent_features_NBP_2020-12-10.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.0,6.130000114440918,2020-12-11,0.021435299389056306
NBP,2020-12-11,data/simulated_trades_long/agent_features_NBP_2020-12-11.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.130000114440918,6.419000148773193,2020-12-14,0.046067596889534324
NBP,2020-12-14,data/simulated_trades_long/agent_features_NBP_2020-12-14.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.419000148773193,6.640999794006348,2020-12-15,0.03400015803346168
NBP,2020-12-15,data/simulated_trades_long/agent_features_NBP_2020-12-15.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.640999794006348,6.376999855041504,2020-12-16,-0.040564778938429136
NBP,2020-12-16,data/simulated_trades_long/agent_features_NBP_2020-12-16.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.376999855041504,6.210999965667725,2020-12-17,-0.026375836552168908
NBP,2020-12-17,data/simulated_trades_long/agent_features_NBP_2020-12-17.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.210999965667725,6.203000068664551,2020-12-18,-0.0012888509889574795
NBP,2020-12-18,data/simulated_trades_long/agent_features_NBP_2020-12-18.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.203000068664551,6.544000148773193,2020-12-21,0.05351556497418386
NBP,2020-12-21,data/simulated_trades_long/agent_features_NBP_2020-12-21.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.544000148773193,6.882999897003174,2020-12-22,0.050505966417547565
NBP,2020-12-22,data/simulated_trades_long/agent_features_NBP_2020-12-22.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.882999897003174,6.889999866485596,2020-12-23,0.0010164771952860807
NBP,2020-12-23,data/simulated_trades_long/agent_features_NBP_2020-12-23.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.889999866485596,6.918000221252441,2020-12-24,0.004055676849546774
NBP,2020-12-24,data/simulated_trades_long/agent_features_NBP_2020-12-24.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.918000221252441,6.867000102996826,2020-12-28,-0.007399397859767065
NBP,2020-12-28,data/simulated_trades_long/agent_features_NBP_2020-12-28.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,6.867000102996826,7.491000175476074,2020-12-29,0.08697497875331628
NBP,2020-12-29,data/simulated_trades_long/agent_features_NBP_2020-12-29.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.491000175476074,7.605999946594238,2020-12-30,0.015235079093872006
NBP,2020-12-30,data/simulated_trades_long/agent_features_NBP_2020-12-30.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.605999946594238,7.710000038146973,2020-12-31,0.013580790038427715
NBP,2020-12-31,data/simulated_trades_long/agent_features_NBP_2020-12-31.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.710000038146973,8.074000358581543,2021-01-04,0.046130874319666226
NBP,2021-01-04,data/simulated_trades_long/agent_features_NBP_2021-01-04.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,8.074000358581543,7.34600019454956,2021-01-05,-0.09449309296141517
NBP,2021-01-05,data/simulated_trades_long/agent_features_NBP_2021-01-05.csv,ABM,1114,1000,102,12,97953.59917355372,2238.0584466129894,94316.0,103197.0,96710.0,105.57438016528926,331.8992320776949,1.0,2706.0,12.0,0.0,0.0,0.0,0.0,,7.34600019454956,7.176000118255615,2021-01-06,-0.02341383264539898
