date,mid_mean,mid_std,spread_mean,spread_std,n_agents_total,n_agents_with_quotes,quote_coverage,abides_price,fills_sum,vol_sum,fills_buy,fills_sell,vol_buy,vol_sell,fills_total,vol_total,last_trade,fills_mean,vol_mean,y_next_day_abides,ttf_price,fills_sum_lag1,fills_sum_lag2,fills_sum_lag3,fills_mean_lag1,fills_mean_lag2,fills_mean_lag3,vol_sum_lag1,vol_sum_lag2,vol_sum_lag3,vol_mean_lag1,vol_mean_lag2,vol_mean_lag3,quote_coverage_lag1,quote_coverage_lag2,quote_coverage_lag3,abides_price_lag1,abides_price_lag2,abides_price_lag3,mid_mean_lag1,mid_mean_lag2,mid_mean_lag3,mid_std_lag1,mid_std_lag2,mid_std_lag3,spread_mean_lag1,spread_mean_lag2,spread_mean_lag3,spread_std_lag1,spread_std_lag2,spread_std_lag3
2026-01-13,9.795359917355372,0.22380584466129838,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,30.315,428.0,7515.0,209.0,219.0,3972.0,3543.0,428.0,7515.0,303516.0,0.38420107719928187,6.7459605026929985,31.5,30.315,503.0,503.0,503.0,0.45152603231597843,0.45152603231597843,0.45152603231597843,7727.0,7727.0,7727.0,6.936265709156194,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,29.138,28.696,28.724,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129907,0.22380584466129957,0.22380584466129852,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776949,0.033189923207769485,0.0331899232077695
2026-01-14,9.795359917355372,0.22380584466129902,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,31.5,689.0,14679.0,245.0,444.0,5285.0,9394.0,689.0,14679.0,315036.0,0.618491921005386,13.176840215439857,32.332,31.5,428.0,503.0,503.0,0.38420107719928187,0.45152603231597843,0.45152603231597843,7515.0,7727.0,7727.0,6.7459605026929985,6.936265709156194,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,30.315,29.138,28.696,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129838,0.22380584466129907,0.22380584466129957,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.03318992320776949,0.033189923207769485
2026-01-15,9.795359917355372,0.22380584466130093,0.010557438016528925,0.03318992320776948,1114,242,0.21723518850987433,32.332,478.0,8853.0,226.0,252.0,4361.0,4492.0,478.0,8853.0,324435.0,0.42908438061041293,7.947037701974866,33.329,32.332,689.0,428.0,503.0,0.618491921005386,0.38420107719928187,0.45152603231597843,14679.0,7515.0,7727.0,13.176840215439857,6.7459605026929985,6.936265709156194,0.21723518850987433,0.21723518850987433,0.21723518850987433,31.5,30.315,29.138,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129902,0.22380584466129838,0.22380584466129907,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.033189923207769485,0.03318992320776949
2026-01-16,9.795359917355372,0.22380584466129902,0.010557438016528925,0.0331899232077695,1114,242,0.21723518850987433,33.329,771.0,15301.0,362.0,409.0,7019.0,8282.0,771.0,15301.0,330625.0,0.6921005385996409,13.735188509874327,37.105,33.329,478.0,689.0,428.0,0.42908438061041293,0.618491921005386,0.38420107719928187,8853.0,14679.0,7515.0,7.947037701974866,13.176840215439857,6.7459605026929985,0.21723518850987433,0.21723518850987433,0.21723518850987433,32.332,31.5,30.315,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466130093,0.22380584466129902,0.22380584466129838,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776948,0.033189923207769485,0.033189923207769485
2026-01-17,9.795359917355372,0.22380584466129907,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,37.105,548.0,9152.0,220.0,328.0,3704.0,5448.0,548.0,9152.0,367949.0,0.4919210053859964,8.215439856373429,37.151,37.105,771.0,478.0,689.0,0.6921005385996409,0.42908438061041293,0.618491921005386,15301.0,8853.0,14679.0,13.735188509874327,7.947037701974866,13.176840215439857,0.21723518850987433,0.21723518850987433,0.21723518850987433,33.329,32.332,31.5,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129902,0.22380584466130093,0.22380584466129902,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.0331899232077695,0.03318992320776948,0.033189923207769485
2026-01-18,9.795359917355372,0.22380584466129888,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,37.151,548.0,9152.0,220.0,328.0,3704.0,5448.0,548.0,9152.0,368409.0,0.4919210053859964,8.215439856373429,36.85,37.151,548.0,771.0,478.0,0.4919210053859964,0.6921005385996409,0.42908438061041293,9152.0,15301.0,8853.0,8.215439856373429,13.735188509874327,7.947037701974866,0.21723518850987433,0.21723518850987433,0.21723518850987433,37.105,33.329,32.332,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129907,0.22380584466129902,0.22380584466130093,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.0331899232077695,0.03318992320776948
2026-01-19,9.795359917355372,0.22380584466129838,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,36.85,548.0,9152.0,220.0,328.0,3704.0,5448.0,548.0,9152.0,365399.0,0.4919210053859964,8.215439856373429,35.953,36.85,548.0,548.0,771.0,0.4919210053859964,0.4919210053859964,0.6921005385996409,9152.0,9152.0,15301.0,8.215439856373429,8.215439856373429,13.735188509874327,0.21723518850987433,0.21723518850987433,0.21723518850987433,37.151,37.105,33.329,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129888,0.22380584466129907,0.22380584466129902,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.033189923207769485,0.0331899232077695
2026-01-20,9.795359917355372,0.22380584466129932,0.010557438016528925,0.03318992320776949,1114,242,0.21723518850987433,35.953,533.0,7493.0,210.0,323.0,4496.0,2997.0,533.0,7493.0,359702.0,0.4784560143626571,6.726211849192101,36.957,35.953,548.0,548.0,548.0,0.4919210053859964,0.4919210053859964,0.4919210053859964,9152.0,9152.0,9152.0,8.215439856373429,8.215439856373429,8.215439856373429,0.21723518850987433,0.21723518850987433,0.21723518850987433,36.85,37.151,37.105,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129838,0.22380584466129888,0.22380584466129907,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.033189923207769485,0.033189923207769485
2026-01-21,9.795359917355372,0.22380584466129844,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,36.957,548.0,9152.0,220.0,328.0,3704.0,5448.0,548.0,9152.0,366469.0,0.4919210053859964,8.215439856373429,38.635,36.957,533.0,548.0,548.0,0.4784560143626571,0.4919210053859964,0.4919210053859964,7493.0,9152.0,9152.0,6.726211849192101,8.215439856373429,8.215439856373429,0.21723518850987433,0.21723518850987433,0.21723518850987433,35.953,36.85,37.151,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129932,0.22380584466129838,0.22380584466129888,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.03318992320776949,0.033189923207769485,0.033189923207769485
2026-01-22,9.795359917355372,0.2238058446612983,0.010557438016528925,0.033189923207769485,1114,242,0.21723518850987433,38.635,547.0,10790.0,214.0,333.0,3407.0,7383.0,547.0,10790.0,385165.0,0.4910233393177738,9.685816876122082,38.771,38.635,548.0,533.0,548.0,0.4919210053859964,0.4784560143626571,0.4919210053859964,9152.0,7493.0,9152.0,8.215439856373429,6.726211849192101,8.215439856373429,0.21723518850987433,0.21723518850987433,0.21723518850987433,36.957,35.953,36.85,9.795359917355372,9.795359917355372,9.795359917355372,0.22380584466129844,0.22380584466129932,0.22380584466129838,0.010557438016528925,0.010557438016528925,0.010557438016528925,0.033189923207769485,0.03318992320776949,0.033189923207769485
