test_hub,algo,rmse_ret_mean,mae_ret_mean,rmse_price_implied_mean,baseline_rmse_ret_mean,baseline_mae_ret_mean,baseline_rmse_price_mean,baseline_mae_price_mean,delta_rmse_ret_mean,ratio_rmse_ret_mean,rmse_ret_std,mae_ret_std,rmse_price_implied_std,baseline_rmse_ret_std,baseline_mae_ret_std,baseline_rmse_price_std,baseline_mae_price_std,delta_rmse_ret_std,ratio_rmse_ret_std,n_seeds
LTU,zeno,0.02763875818356685,0.02166923035447012,1.2656638376457696,0.02962085929329087,0.022854321428262596,1.373016946174649,1.0382241379310346,-0.0019821011097240207,0.9330842805707205,0.0006208608674387832,0.0005802762219918786,0.03560012140750758,0.0,0.0,0.0,0.0,0.0006208608674387831,0.020960258488497283,5
LVA-EST,fedavg,0.026382508356413266,0.020927853126616762,1.2233547327360734,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0018699124879021506,0.93381407921798,0.0010370739862692498,0.000848579193230678,0.05128346754094225,0.0,0.0,0.0,0.0,0.0010370739862692504,0.03670743799209398,5
LVA-EST,fednova,0.02662741374581539,0.02126150149109388,1.2371998476676915,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0016250070985000232,0.942482553709128,0.0013626503704766433,0.001006949375765336,0.07582141962391355,0.0,0.0,0.0,0.0,0.0013626503704766426,0.048231278232244594,5
LVA-EST,fedprox,0.026669705099098162,0.021075367330019523,1.2360481180349656,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0015827157452172544,0.9439794644877058,0.0006344848736323664,0.0007363299880859845,0.031091460232820133,0.0,0.0,0.0,0.0,0.0006344848736323669,0.02245771706179397,5
LVA-EST,krum,0.027214019137928806,0.021883747760198434,1.2602897685078016,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,-0.0010384017063866096,0.9632455670928624,0.0009606153198741545,0.0010942716045201533,0.05049084047849557,0.0,0.0,0.0,0.0,0.0009606153198741542,0.034001168436772596,5
LVA-EST,scaffold,0.061644578689874906,0.04601733436916376,2.9148485181436152,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0.033392157845559496,2.1819220034122573,0.00490346329066467,0.0032183663107243797,0.2902739105037938,0.0,0.0,0.0,0.0,0.004903463290664668,0.17355904889301835,5
LVA-EST,zeno,0.029348399710081387,0.022833733799955645,1.369996173428116,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0.001095978865765969,1.03879238780299,0.0003207529938992326,0.0002174995307693461,0.016624981144693386,0.0,0.0,0.0,0.0,0.00032075299389923255,0.011353115390243449,5
TTF,fedavg,0.03768284765075709,0.028911250555035423,1.2901624022971574,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.0056884460050381684,1.177795042646135,0.001076414091211952,0.0010487235365616015,0.03119155076622281,0.0,0.0,0.0,0.0,0.001076414091211951,0.033643826289715344,5
TTF,fednova,0.03784722368844048,0.02951330460106828,1.2926441687837975,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.005852822042721554,1.1829326926482684,0.0006499230794193896,0.000994431184021778,0.01999865788757332,0.0,0.0,0.0,0.0,0.000649923079419387,0.02031365007591424,5
TTF,fedprox,0.038062376105994486,0.029330346519640504,1.3050572160858667,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.006067974460275569,1.1896573821716558,0.00016817559013334555,0.0004586506538915918,0.006148765948018151,0.0,0.0,0.0,0.0,0.00016817559013334462,0.005256406792525478,5
TTF,krum,0.03363266692040656,0.025722914670349366,1.1699267029975284,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.0016382652746876405,1.0512047480314997,0.0006890166817091367,0.0005829717303448014,0.035425261825046475,0.0,0.0,0.0,0.0,0.0006890166817091353,0.021535538915175484,5
TTF,scaffold,0.06509886102668089,0.050058997560576614,2.1927806368509284,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.03310445938096197,2.03469537413248,0.008398605707102134,0.005048968095912157,0.31005090016630243,0.0,0.0,0.0,0.0,0.00839860570710213,0.26250235275851524,5
TTF,zeno,0.03448194021741207,0.026173590818988318,1.186389625553367,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0.00248753857169315,1.0777491824738032,0.00022924460206410742,0.00037897584722608473,0.006616708956793927,0.0,0.0,0.0,0.0,0.0002292446020641085,0.007165147346794711,5
