test_hub,algo,round,rmse_ret,mae_ret,rmse_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,seed
FIN,fedprox,66,0.11301294714212418,0.059297047555446625,7.19237642218821,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,1
FIN,fedprox,24,0.11241062730550766,0.06008628383278847,7.1496586294087985,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,2
FIN,fedprox,28,0.11315585672855377,0.06132892891764641,7.176684241092902,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,3
FIN,fedprox,98,0.11436118185520172,0.06100592762231827,7.268358635212606,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,4
LTU,fedprox,72,0.027019185945391655,0.021724244579672813,1.2386565307344164,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,0
LTU,fedprox,38,0.0273075420409441,0.022257979959249496,1.2469314005670575,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,1
LTU,fedprox,97,0.027814732864499092,0.02293986827135086,1.275214884636559,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,2
LTU,fedprox,31,0.02729647606611252,0.021745484322309494,1.2466956765418893,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,3
LTU,fedprox,53,0.02806571125984192,0.02341298758983612,1.296344689618943,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,4
LVA-EST,fedprox,65,0.027297062799334526,0.021737629547715187,1.2808171967498578,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0
LVA-EST,fedprox,100,0.02617875672876835,0.02086160145699978,1.2069337041718857,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,1
LVA-EST,fedprox,17,0.02609887532889843,0.02031104639172554,1.2140000232617458,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,2
LVA-EST,fedprox,100,0.0264692734926939,0.021104320883750916,1.2219208849354117,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,3
LVA-EST,fedprox,40,0.026353467255830765,0.020737910643219948,1.2142066978318136,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,4
TTF,fedprox,17,0.038045547902584076,0.029644779860973358,1.3096149148212717,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0
TTF,fedprox,43,0.03796042129397392,0.028409786522388458,1.2903830762800492,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,1
TTF,fedprox,6,0.036864425987005234,0.029519451782107353,1.2938033907616775,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,2
TTF,fedprox,24,0.03456855192780495,0.026972530409693718,1.2084013580785502,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,3
TTF,fedprox,18,0.038241948932409286,0.029810259118676186,1.314518423385647,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,4
