test_hub,test_hub_raw,tokenize_hubs,token_salt_set,algo,server_algo,seed,round,local_epochs,clients_per_round,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,baseline_test_rows,mask_clip,mask_bits,privacy_sigma
LTU,,0,0,fedavg,fedavg,0,23,5,3,0.001,,0.03448619515180636,0.027646534932939865,1.6035441763938814,1.2573642289915994,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,24,5,3,0.001,,0.03452794107219861,0.02758478220870341,1.5941087979845001,1.25182701321306,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,25,5,3,0.001,,0.03350901387736304,0.02680651363560424,1.548636315038576,1.2185010706227413,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,26,5,3,0.001,,0.03355686924365821,0.02690099881573556,1.5462251703721088,1.22156825058522,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,27,5,3,0.001,,0.03300375281916455,0.026720517685542542,1.5146238356077881,1.2113132626075178,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,28,5,3,0.001,,0.0329646934027905,0.026752064214539635,1.5077184698702648,1.2120898930687336,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,29,5,3,0.001,,0.03232875793878816,0.026299258261760456,1.4788423157028063,1.1933069341696552,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,30,5,3,0.001,,0.03227654657005306,0.026367308075413317,1.4774917313844105,1.1963975130792335,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,31,5,3,0.001,,0.03170398972872903,0.025894923281408286,1.4497590311770814,1.1748695661692796,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,32,5,3,0.001,,0.031707751919550144,0.025810968019680424,1.440639830736724,1.1665228739791906,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
LTU,,0,0,fedavg,fedavg,0,33,5,3,0.001,,0.031244388032500736,0.025544330751942873,1.4217610171445634,1.155784536868335,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,58,0.0,0,0.005
