date,mid_mean,mid_std,mid_p10,mid_p90,spread_mean,spread_std,vol_mean,vol_sum,n_agents_with_quotes,n_agents_total,quote_coverage,price,y_next_day,y_synth
1997-02-14,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,2.12,1.84,7.013720635511531
1997-02-18,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.84,1.95,7.01390151942565
1997-02-19,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.95,1.92,7.031009785404276
1997-02-20,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.92,1.92,7.005529159231725
1997-02-21,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.92,1.92,7.004470882104855
1997-02-24,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.92,1.77,7.001455582113092
1997-02-25,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.77,1.81,7.015753103621326
1997-02-26,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.81,1.8,7.02088303232278
1997-02-27,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.8,1.78,7.008453834819022
1997-02-28,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.78,1.8,7.001191744625946
1997-03-03,9.998082304526749,0.0014332156376146,9.996,10.0,0.0001452674897119,0.000101274065871,0.0,0.0,243,1114,0.2181328545780969,1.8,1.87,7.001348497238658
