date,price,hub
2024-05-13,8.98799991607666,NBP
2024-05-14,9.059000015258787,NBP
2024-05-15,9.112000465393066,NBP
2024-05-16,9.253000259399414,NBP
2024-05-17,9.444000244140623,NBP
2024-05-20,9.748000144958496,NBP
2024-05-21,10.121999740600586,NBP
2024-05-22,10.494999885559082,NBP
2024-05-23,10.848999977111816,NBP
2024-05-24,10.434000015258787,NBP
2024-05-28,10.326000213623049,NBP
2024-05-29,10.375,NBP
2024-05-30,10.803999900817873,NBP
2024-05-31,10.420000076293944,NBP
2024-06-03,11.130999565124512,NBP
2024-06-04,10.303000450134276,NBP
2024-06-05,10.12600040435791,NBP
2024-06-06,10.289999961853027,NBP
2024-06-07,9.977999687194824,NBP
2024-06-10,10.343999862670898,NBP
2024-06-11,10.3100004196167,NBP
2024-06-12,10.772000312805176,NBP
2024-06-13,10.763999938964844,NBP
2024-06-14,10.55500030517578,NBP
2024-06-17,10.211999893188477,NBP
2024-06-18,10.336999893188477,NBP
2024-06-20,10.199000358581545,NBP
2024-06-21,9.996000289916992,NBP
2024-06-24,10.112000465393066,NBP
2024-06-25,10.340999603271484,NBP
2024-06-26,9.975000381469728,NBP
2024-06-27,10.42300033569336,NBP
2024-06-28,10.286999702453612,NBP
2024-07-01,9.904000282287598,NBP
2024-07-02,9.982999801635742,NBP
2024-07-03,9.696999549865724,NBP
2024-07-05,9.892000198364258,NBP
2024-07-08,9.626999855041504,NBP
2024-07-09,9.319000244140623,NBP
2024-07-10,9.140000343322754,NBP
2024-07-11,9.329999923706056,NBP
2024-07-12,9.50100040435791,NBP
2024-07-15,9.383000373840332,NBP
2024-07-16,9.876999855041504,NBP
2024-07-17,9.60200023651123,NBP
2024-07-18,9.871000289916992,NBP
2024-07-19,9.656999588012695,NBP
2024-07-22,9.553999900817873,NBP
2024-07-23,9.45300006866455,NBP
2024-07-24,9.79599952697754,NBP
2024-07-25,9.55799961090088,NBP
2024-07-26,9.78499984741211,NBP
2024-07-29,10.241000175476074,NBP
2024-07-30,10.904000282287598,NBP
2024-07-31,11.178000450134276,NBP
2024-08-01,11.541000366210938,NBP
2024-08-02,11.506999969482422,NBP
2024-08-05,11.118000030517578,NBP
2024-08-06,11.482999801635742,NBP
2024-08-07,12.020999908447266,NBP
2024-08-08,12.480999946594238,NBP
2024-08-09,12.595000267028809,NBP
2024-08-12,12.371999740600586,NBP
2024-08-13,12.309000015258787,NBP
2024-08-14,12.112000465393066,NBP
2024-08-15,12.29599952697754,NBP
2024-08-16,12.289999961853027,NBP
2024-08-19,12.487000465393066,NBP
2024-08-20,11.918999671936035,NBP
2024-08-21,11.583999633789062,NBP
2024-08-22,11.470000267028809,NBP
2024-08-23,11.69200038909912,NBP
2024-08-26,11.69200038909912,NBP
2024-08-27,12.345999717712402,NBP
2024-08-28,12.26200008392334,NBP
2024-08-29,12.392000198364258,NBP
2024-08-30,12.642999649047852,NBP
2024-09-03,11.708999633789062,NBP
2024-09-04,11.319000244140623,NBP
2024-09-05,11.449000358581545,NBP
2024-09-06,11.5600004196167,NBP
2024-09-09,11.765999794006348,NBP
2024-09-10,11.04599952697754,NBP
2024-09-11,11.368000030517578,NBP
2024-09-12,11.045000076293944,NBP
2024-09-13,11.281000137329102,NBP
2024-09-16,10.71399974822998,NBP
2024-09-17,11.237000465393066,NBP
2024-09-18,11.13700008392334,NBP
2024-09-19,10.479999542236328,NBP
2024-09-20,10.954999923706056,NBP
2024-09-23,11.626999855041504,NBP
2024-09-24,11.402000427246094,NBP
2024-09-25,12.06999969482422,NBP
2024-09-26,12.244999885559082,NBP
2024-09-27,12.923999786376951,NBP
2024-09-30,13.05500030517578,NBP
2024-10-01,12.989999771118164,NBP
2024-10-02,12.699000358581545,NBP
2024-10-03,13.145000457763672,NBP
2024-10-04,13.45300006866455,NBP
2024-10-07,13.190999984741213,NBP
2024-10-08,12.718000411987305,NBP
2024-10-09,12.496000289916992,NBP
2024-10-10,13.102999687194824,NBP
