date,fills_sum,fills_mean,vol_sum,vol_mean,mid_mean,mid_std,spread_mean,spread_std,n_agents_total,n_agents_with_quotes,quote_coverage,price,y_next_day,fills_sum_lag1,fills_sum_lag2,fills_sum_lag3,fills_mean_lag1,fills_mean_lag2,fills_mean_lag3,vol_sum_lag1,vol_sum_lag2,vol_sum_lag3,vol_mean_lag1,vol_mean_lag2,vol_mean_lag3,quote_coverage_lag1,quote_coverage_lag2,quote_coverage_lag3,price_lag1,price_lag2,price_lag3,mid_mean_lag1,mid_mean_lag2,mid_mean_lag3,mid_std_lag1,mid_std_lag2,mid_std_lag3,spread_mean_lag1,spread_mean_lag2,spread_mean_lag3,spread_std_lag1,spread_std_lag2,spread_std_lag3
2026-01-08,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376147594,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,29.447,28.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.751,28.267,29.557,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376146324,0.0014332156376155591,0.0014332156376152905,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104405,0.00010127406587104409
2026-01-09,0,0.0,0.0,0.0,9.998082304526749,0.001433215637615016,0.00014526748971193415,0.0001012740658710441,1114,243,0.21813285457809695,28.107,28.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.447,28.751,28.267,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376147594,0.0014332156376146324,0.0014332156376155591,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104409,0.00010127406587104405
2026-01-10,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376157307,0.00014526748971193415,0.00010127406587104406,1114,243,0.21813285457809695,28.724,28.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.107,29.447,28.751,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637615016,0.0014332156376147594,0.0014332156376146324,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.0001012740658710441,0.00010127406587104411,0.00010127406587104409
2026-01-11,0,0.0,0.0,0.0,9.998082304526749,0.001433215637614553,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,28.696,29.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.724,28.107,29.447,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376157307,0.001433215637615016,0.0014332156376147594,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104406,0.0001012740658710441,0.00010127406587104411
2026-01-12,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152905,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,29.138,30.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,28.696,28.724,28.107,9.998082304526749,9.998082304526749,9.998082304526749,0.001433215637614553,0.0014332156376157307,0.001433215637615016,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104406,0.0001012740658710441
2026-01-13,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376155591,0.00014526748971193415,0.00010127406587104405,1114,243,0.21813285457809695,30.315,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,29.138,28.696,28.724,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376152905,0.001433215637614553,0.0014332156376157307,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104411,0.00010127406587104406
2026-01-14,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376146324,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,31.5,32.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,30.315,29.138,28.696,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376155591,0.0014332156376152905,0.001433215637614553,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104405,0.00010127406587104409,0.00010127406587104411
2026-01-15,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376147594,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,32.332,33.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,31.5,30.315,29.138,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376146324,0.0014332156376155591,0.0014332156376152905,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104405,0.00010127406587104409
2026-01-16,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376152926,0.00014526748971193415,0.00010127406587104409,1114,243,0.21813285457809695,33.329,37.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,32.332,31.5,30.315,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376147594,0.0014332156376146324,0.0014332156376155591,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104411,0.00010127406587104409,0.00010127406587104405
2026-01-17,0,0.0,0.0,0.0,9.998082304526749,0.0014332156376151445,0.00014526748971193415,0.00010127406587104411,1114,243,0.21813285457809695,37.105,37.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813285457809695,0.21813285457809695,0.21813285457809695,33.329,32.332,31.5,9.998082304526749,9.998082304526749,9.998082304526749,0.0014332156376152926,0.0014332156376147594,0.0014332156376146324,0.00014526748971193415,0.00014526748971193415,0.00014526748971193415,0.00010127406587104409,0.00010127406587104411,0.00010127406587104409
